Block ,P number ,Type ,Spacing,Tree number,Basal Area1,Basal Area2,Basal Area3,Total B.A(mm),Total Dry Biomass(Kg),stem(Kg),Live Branches(Kg),Dead branches(Kg)
1,12,C,5,63,1534.58422,,,1534.58422,3.923579218,4.52720679,0.295702271,0.041951156
1,12,C,5,64,1207.03072,1012.360255,,2219.390975,5.870835691,6.774041182,0.479270627,0.061633009
1,12,C,5,65,,,,,,,,
1,12,C,5,66,530.998,116.91382,,647.91182,1.529963329,1.765342303,0.095662562,0.017073261
1,12,C,5,67,411.924055,,,411.924055,0.932924821,1.076451717,0.052881369,0.010647272
1,12,C,5,68,1069.544655,514.78528,,1584.329935,4.062699936,4.687730695,0.308310243,0.043369963
1,12,C,5,69,353.03512,,,353.03512,0.788261064,0.909531996,0.043212966,0.009065358
1,12,C,5,70,1885.9855,,,1885.9855,4.914579192,5.670668299,0.387306323,0.052012326
1,12,C,5,71,1802.259055,,,1802.259055,4.676779731,5.396284306,0.364958572,0.049607235
1,12,C,5,72,1231.78968,1194.7455,330.106375,2756.641555,7.439208218,8.58370179,0.636501938,0.077262809
1,12,C,5,73,1654.899255,356.373495,,2011.27275,5.272229966,6.083342269,0.421320703,0.055619724
1,12,C,5,74,2307.51622,2091.44088,149.59062,4548.54772,12.85499688,14.83268871,1.225896649,0.130235125
1,12,C,5,75,745.15672,,,745.15672,1.78242886,2.056648685,0.114875571,0.019753105
1,12,C,5,76,1619.04118,1213.196895,799.332655,3631.57073,10.05260396,11.59915841,0.913022934,0.102987503
1,12,C,5,77,1146.23302,326.89368,,1473.1267,3.752279586,4.329553369,0.280299705,0.040201025
1,12,C,5,78,1385.622,118.838295,,1504.460295,3.839534605,4.430232237,0.288128286,0.041092933
1,12,C,5,79,390.621295,268.837375,,659.45867,1.559768085,1.799732405,0.097900003,0.017390616
1,12,C,5,80,539.19862,89.931895,,629.130515,1.48158987,1.709526773,0.092049597,0.016557589
1,12,C,5,81,,,,,,,,
1,12,C,5,82,1654.899255,568.395655,326.89368,2550.18859,6.832845747,7.884052785,0.574846405,0.071239731
